timestamp,action,symbol,qty,price,fee,status,details,strategy
2025-08-11T09:32:10.372521,BUY,PENGUUSDT,3.0,0.04,0.00059976,SUCCESS,"{'symbol': 'PENGUUSDT', 'orderId': 99053634, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.040004', 'origQty': '3.0', 'executedQty': '3.0', 'transactTime': 1754893927133, 'paper': True}",microcap_pricechange
2025-08-11T09:32:13.260446,BUY,PENGUUSDT,3.0,0.04,0.00059976,SUCCESS,"{'symbol': 'PENGUUSDT', 'orderId': 41032127, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.040001', 'origQty': '3.0', 'executedQty': '3.0', 'transactTime': 1754893930692, 'paper': True}",microcap_pricechange
2025-08-11T09:32:19.060708,BUY,TRXUSDT,1.8,0.3411,0.0006139800000000001,SKIPPED,"Condition not met: price=0.3411, priceChange=0.235, quoteVol=99150502.12062, baseVol=291455695.3",microcap_other
2025-08-11T09:32:25.250300,BUY,LDOUSDT,0.086,1.476,0.00063468,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 28326401, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.476', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754893942647, 'paper': True}",microcap_pricechange
2025-08-11T09:32:28.141443,BUY,LDOUSDT,0.086,1.476,0.00063468,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 75987999, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.474', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754893945567, 'paper': True}",microcap_pricechange
2025-08-11T09:32:31.192393,BUY,LDOUSDT,0.086,1.476,0.00063468,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 39591593, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.472', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754893948502, 'paper': True}",microcap_pricechange
2025-08-11T09:32:34.856253,BUY,LDOUSDT,0.086,1.476,0.00063468,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 14717508, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.472', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754893951527, 'paper': True}",microcap_pricechange
2025-08-11T09:32:37.896453,BUY,LDOUSDT,0.086,1.476,0.00063468,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 12678307, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.473', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754893955176, 'paper': True}",microcap_pricechange
2025-08-11T09:32:44.454956,BUY,PROVEUSDT,0.4,1.4452,0.00057808,SKIPPED,"Condition not met: price=1.4452, priceChange=-2.699, quoteVol=83103078.83075, baseVol=57479114.0",microcap_other
2025-08-11T09:37:03.381528,BUY,USDCUSDT,0.0,0.9999,0.0,SKIPPED,"Condition not met: price=0.9999, priceChange=0.02, quoteVol=2177431098.0647, baseVol=2177760829.0",microcap_other
